"period_type","fiscal_year_be","period_order","period_label","risk_code","risk_name","risk_order","total_hn"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0280","เสี่ยงต่ำ","1","288"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0281","เสี่ยงปานกลาง","2","27"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0282","เสี่ยงสูง","3","3"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0283","เสี่ยงสูงมาก","4","2"
"ไตรมาส","2566","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","81"
"ไตรมาส","2566","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","8"
"ไตรมาส","2566","1","ไตรมาส 1","Z0283","เสี่ยงสูงมาก","4","1"
"ไตรมาส","2566","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","76"
"ไตรมาส","2566","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","6"
"ไตรมาส","2566","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","2"
"ไตรมาส","2566","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","67"
"ไตรมาส","2566","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","8"
"ไตรมาส","2566","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","1"
"ไตรมาส","2566","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","68"
"ไตรมาส","2566","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","6"
"ไตรมาส","2566","4","ไตรมาส 4","Z0283","เสี่ยงสูงมาก","4","1"
"ปีงบประมาณ","2567","0","ปีงบประมาณ 2567","Z0280","เสี่ยงต่ำ","1","238"
"ปีงบประมาณ","2567","0","ปีงบประมาณ 2567","Z0281","เสี่ยงปานกลาง","2","17"
"ปีงบประมาณ","2567","0","ปีงบประมาณ 2567","Z0282","เสี่ยงสูง","3","4"
"ปีงบประมาณ","2567","0","ปีงบประมาณ 2567","Z0283","เสี่ยงสูงมาก","4","2"
"ไตรมาส","2567","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","63"
"ไตรมาส","2567","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","5"
"ไตรมาส","2567","1","ไตรมาส 1","Z0282","เสี่ยงสูง","3","1"
"ไตรมาส","2567","1","ไตรมาส 1","Z0283","เสี่ยงสูงมาก","4","2"
"ไตรมาส","2567","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","85"
"ไตรมาส","2567","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","2"
"ไตรมาส","2567","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","1"
"ไตรมาส","2567","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","48"
"ไตรมาส","2567","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","4"
"ไตรมาส","2567","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","1"
"ไตรมาส","2567","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","54"
"ไตรมาส","2567","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","9"
"ไตรมาส","2567","4","ไตรมาส 4","Z0282","เสี่ยงสูง","3","1"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0280","เสี่ยงต่ำ","1","336"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0281","เสี่ยงปานกลาง","2","6"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0282","เสี่ยงสูง","3","1"
"ปีงบประมาณ","2568","0","ปีงบประมาณ 2568","Z0283","เสี่ยงสูงมาก","4","19"
"ไตรมาส","2568","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","93"
"ไตรมาส","2568","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","2"
"ไตรมาส","2568","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","86"
"ไตรมาส","2568","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","2"
"ไตรมาส","2568","2","ไตรมาส 2","Z0283","เสี่ยงสูงมาก","4","1"
"ไตรมาส","2568","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","62"
"ไตรมาส","2568","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","1"
"ไตรมาส","2568","3","ไตรมาส 3","Z0283","เสี่ยงสูงมาก","4","18"
"ไตรมาส","2568","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","109"
"ไตรมาส","2568","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","1"
"ไตรมาส","2568","4","ไตรมาส 4","Z0282","เสี่ยงสูง","3","1"
"ปีงบประมาณ","2569","0","ปีงบประมาณ 2569","Z0280","เสี่ยงต่ำ","1","965"
"ปีงบประมาณ","2569","0","ปีงบประมาณ 2569","Z0281","เสี่ยงปานกลาง","2","139"
"ปีงบประมาณ","2569","0","ปีงบประมาณ 2569","Z0282","เสี่ยงสูง","3","18"
"ปีงบประมาณ","2569","0","ปีงบประมาณ 2569","Z0283","เสี่ยงสูงมาก","4","5"
"ไตรมาส","2569","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","133"
"ไตรมาส","2569","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","262"
"ไตรมาส","2569","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","21"
"ไตรมาส","2569","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","1"
"ไตรมาส","2569","2","ไตรมาส 2","Z0283","เสี่ยงสูงมาก","4","3"
"ไตรมาส","2569","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","385"
"ไตรมาส","2569","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","69"
"ไตรมาส","2569","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","10"
"ไตรมาส","2569","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","221"
"ไตรมาส","2569","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","50"
"ไตรมาส","2569","4","ไตรมาส 4","Z0282","เสี่ยงสูง","3","8"
"ไตรมาส","2569","4","ไตรมาส 4","Z0283","เสี่ยงสูงมาก","4","2"
