period_type,fiscal_year_be,period_order,period_label,indicator_no,indicator_name,target_text,target_type,target_value,numerator,denominator,actual_percent,status,gap_from_target
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,1,อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c,>= 70%,>=,70,979,1030,95.05,ผ่าน,25.05
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,2,อัตราผู้ป่วยเบาหวานชนิดที่ 2 ที่มีระดับ HbA1c < 7%,> 40%,>,40,286,982,29.12,ไม่ผ่าน,-10.88
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,3,อัตราผู้ป่วยเบาหวานชนิดที่ 1 ที่มีระดับ HbA1c < 7%,> 40%,>,40,6,37,16.22,ไม่ผ่าน,-23.78
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,4,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลันจาก DM,< 4%,<,4,0,1030,0,ผ่าน,4
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,5,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hypoglycemia,< 4%,<,4,0,1030,0,ผ่าน,4
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,6,"อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hyperglycemia, DKA",< 4%,<,4,0,1030,0,ผ่าน,4
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,7,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Lipid profile,> 70%,>,70,486,1030,47.18,ไม่ผ่าน,-22.82
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,8,อัตราผู้ป่วย DM ที่มีระดับ LDL < 100 mg/dL,> 60%,>,60,223,1030,21.65,ไม่ผ่าน,-38.35
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,9,อัตราของระดับความดันโลหิตในผู้ป่วย DM <= 130/80 mmHg,>= 60%,>=,60,360,1030,34.95,ไม่ผ่าน,-25.05
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,10,อัตราผู้ป่วย DM อายุ 40 ปีขึ้นไปที่ได้รับยา Aspirin,> 70%,>,70,376,889,42.29,ไม่ผ่าน,-27.71
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,11,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Microalbuminuria ประจำปี,> 80%,>,80,41,1030,3.98,ไม่ผ่าน,-76.02
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,12,อัตราผู้ป่วย DM มี Microalbuminuria ที่ได้รักษาด้วยยา ACEI หรือ ARB,>= 60%,>=,60,14,25,56,ไม่ผ่าน,-4
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,13,อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี,> 70%,>,70,427,1030,41.46,ไม่ผ่าน,-28.54
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,14,อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี,> 40%,>,40,166,1030,16.12,ไม่ผ่าน,-23.88
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,15,อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี,> 80%,>,80,160,1030,15.53,ไม่ผ่าน,-64.47
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,16,อัตราผู้ป่วยเบาหวานที่มี Diabetic retinopathy,< 15%,<,15,153,1030,14.85,ผ่าน,0.15
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,17,อัตราผู้ป่วยเบาหวานที่มี Diabetic nephropathy,< 30%,<,30,61,1030,5.92,ผ่าน,24.08
ปีงบประมาณ,2566,0,ปีงบประมาณ 2566,18,อัตราผู้ป่วยเบาหวานที่มีแผลที่เท้า,< 5%,<,5,29,1030,2.82,ผ่าน,2.18
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,1,อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c,>= 70%,>=,70,1022,1082,94.45,ผ่าน,24.45
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,2,อัตราผู้ป่วยเบาหวานชนิดที่ 2 ที่มีระดับ HbA1c < 7%,> 40%,>,40,305,1024,29.79,ไม่ผ่าน,-10.21
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,3,อัตราผู้ป่วยเบาหวานชนิดที่ 1 ที่มีระดับ HbA1c < 7%,> 40%,>,40,16,58,27.59,ไม่ผ่าน,-12.41
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,4,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลันจาก DM,< 4%,<,4,0,1082,0,ผ่าน,4
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,5,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hypoglycemia,< 4%,<,4,0,1082,0,ผ่าน,4
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,6,"อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hyperglycemia, DKA",< 4%,<,4,0,1082,0,ผ่าน,4
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,7,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Lipid profile,> 70%,>,70,699,1082,64.6,ไม่ผ่าน,-5.4
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,8,อัตราผู้ป่วย DM ที่มีระดับ LDL < 100 mg/dL,> 60%,>,60,410,1082,37.89,ไม่ผ่าน,-22.11
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,9,อัตราของระดับความดันโลหิตในผู้ป่วย DM <= 130/80 mmHg,>= 60%,>=,60,429,1082,39.65,ไม่ผ่าน,-20.35
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,10,อัตราผู้ป่วย DM อายุ 40 ปีขึ้นไปที่ได้รับยา Aspirin,> 70%,>,70,337,926,36.39,ไม่ผ่าน,-33.61
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,11,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Microalbuminuria ประจำปี,> 80%,>,80,38,1082,3.51,ไม่ผ่าน,-76.49
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,12,อัตราผู้ป่วย DM มี Microalbuminuria ที่ได้รักษาด้วยยา ACEI หรือ ARB,>= 60%,>=,60,13,23,56.52,ไม่ผ่าน,-3.48
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,13,อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี,> 70%,>,70,416,1082,38.45,ไม่ผ่าน,-31.55
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,14,อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี,> 40%,>,40,40,1082,3.7,ไม่ผ่าน,-36.3
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,15,อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี,> 80%,>,80,78,1082,7.21,ไม่ผ่าน,-72.79
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,16,อัตราผู้ป่วยเบาหวานที่มี Diabetic retinopathy,< 15%,<,15,180,1082,16.64,ไม่ผ่าน,-1.64
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,17,อัตราผู้ป่วยเบาหวานที่มี Diabetic nephropathy,< 30%,<,30,85,1082,7.86,ผ่าน,22.14
ปีงบประมาณ,2567,0,ปีงบประมาณ 2567,18,อัตราผู้ป่วยเบาหวานที่มีแผลที่เท้า,< 5%,<,5,31,1082,2.87,ผ่าน,2.13
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,1,อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c,>= 70%,>=,70,1097,1117,98.21,ผ่าน,28.21
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,2,อัตราผู้ป่วยเบาหวานชนิดที่ 2 ที่มีระดับ HbA1c < 7%,> 40%,>,40,292,1040,28.08,ไม่ผ่าน,-11.92
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,3,อัตราผู้ป่วยเบาหวานชนิดที่ 1 ที่มีระดับ HbA1c < 7%,> 40%,>,40,8,64,12.5,ไม่ผ่าน,-27.5
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,4,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลันจาก DM,< 4%,<,4,0,1117,0,ผ่าน,4
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,5,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hypoglycemia,< 4%,<,4,0,1117,0,ผ่าน,4
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,6,"อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hyperglycemia, DKA",< 4%,<,4,0,1117,0,ผ่าน,4
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,7,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Lipid profile,> 70%,>,70,729,1117,65.26,ไม่ผ่าน,-4.74
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,8,อัตราผู้ป่วย DM ที่มีระดับ LDL < 100 mg/dL,> 60%,>,60,413,1117,36.97,ไม่ผ่าน,-23.03
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,9,อัตราของระดับความดันโลหิตในผู้ป่วย DM <= 130/80 mmHg,>= 60%,>=,60,396,1117,35.45,ไม่ผ่าน,-24.55
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,10,อัตราผู้ป่วย DM อายุ 40 ปีขึ้นไปที่ได้รับยา Aspirin,> 70%,>,70,327,940,34.79,ไม่ผ่าน,-35.21
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,11,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Microalbuminuria ประจำปี,> 80%,>,80,55,1117,4.92,ไม่ผ่าน,-75.08
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,12,อัตราผู้ป่วย DM มี Microalbuminuria ที่ได้รักษาด้วยยา ACEI หรือ ARB,>= 60%,>=,60,15,31,48.39,ไม่ผ่าน,-11.61
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,13,อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี,> 70%,>,70,413,1117,36.97,ไม่ผ่าน,-33.03
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,14,อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี,> 40%,>,40,166,1117,14.86,ไม่ผ่าน,-25.14
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,15,อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี,> 80%,>,80,142,1117,12.71,ไม่ผ่าน,-67.29
ปีงบประมาณ,2568,0,ปีงบประมาณ 2568,16,อัตราผู้ป่วยเบาหวานที่มี Diabetic retinopathy,< 15%,<,15,170,1117,15.22,ไม่ผ่าน,-0.22
