"period_type","fiscal_year_be","period_order","period_label","indicator_no","indicator_name","target_text","target_type","target_value","numerator","denominator","actual_percent","status","gap_from_target"
"เดือน","2566","1","ตุลาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","216","283","76.33","ผ่าน","6.33"
"เดือน","2566","1","ตุลาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","48","216","22.22","ไม่ผ่าน","-17.78"
"เดือน","2566","1","ตุลาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","38","283","13.43","ไม่ผ่าน","-56.57"
"เดือน","2566","1","ตุลาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","33","283","11.66","ไม่ผ่าน","-28.34"
"เดือน","2566","1","ตุลาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","17","283","6.01","ไม่ผ่าน","-73.99"
"เดือน","2566","2","พฤศจิกายน","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","262","332","78.92","ผ่าน","8.92"
"เดือน","2566","2","พฤศจิกายน","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","66","262","25.19","ไม่ผ่าน","-14.81"
"เดือน","2566","2","พฤศจิกายน","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","28","332","8.43","ไม่ผ่าน","-61.57"
"เดือน","2566","2","พฤศจิกายน","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","18","332","5.42","ไม่ผ่าน","-34.58"
"เดือน","2566","2","พฤศจิกายน","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","15","332","4.52","ไม่ผ่าน","-75.48"
"เดือน","2566","3","ธันวาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","205","263","77.95","ผ่าน","7.95"
"เดือน","2566","3","ธันวาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","50","205","24.39","ไม่ผ่าน","-15.61"
"เดือน","2566","3","ธันวาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","31","263","11.79","ไม่ผ่าน","-58.21"
"เดือน","2566","3","ธันวาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","19","263","7.22","ไม่ผ่าน","-32.78"
"เดือน","2566","3","ธันวาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","8","263","3.04","ไม่ผ่าน","-76.96"
"เดือน","2566","4","มกราคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","243","351","69.23","ไม่ผ่าน","-0.77"
"เดือน","2566","4","มกราคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","65","243","26.75","ไม่ผ่าน","-13.25"
"เดือน","2566","4","มกราคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","30","351","8.55","ไม่ผ่าน","-61.45"
"เดือน","2566","4","มกราคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","15","351","4.27","ไม่ผ่าน","-35.73"
"เดือน","2566","4","มกราคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","12","351","3.42","ไม่ผ่าน","-76.58"
"เดือน","2566","5","กุมภาพันธ์","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","185","314","58.92","ไม่ผ่าน","-11.08"
"เดือน","2566","5","กุมภาพันธ์","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","62","185","33.51","ไม่ผ่าน","-6.49"
"เดือน","2566","5","กุมภาพันธ์","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","44","314","14.01","ไม่ผ่าน","-55.99"
